Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_upheld_rate,period,year,half,sector,avg_upheld_rate,period_sort,period_date,industry_avg,upheld_deviation,firm_yoy_change,volatility_score
Investec Bank PLC,INVESTEC PLC,2021-10-01 to 2022-03-31,0.2812,,0.5714,,0.4833,,2022-h1,2022,h1,Banking,44.53,1,2022-01-01,52.00837250000001,-7.478372500000006,,18.67666666666667
Investment Funds Direct Limited,M&G GROUP,2022-01-01 to 2022-06-30,,0.7867,,,0.7968,,2022-h1,2022,h1,Investments,79.175,1,2022-01-01,52.00837250000001,27.16662749999999,,12.10226682408502
J D Williams & Company Limited,NO GROUP,2021-09-01 to 2022-02-28,,,,,,,2022-h1,2022,h1,Other,,1,2022-01-01,52.00837250000001,,,6.25
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2022-01-01 to 2022-06-30,0.6423,,,,,,2022-h1,2022,h1,Banking,64.23,1,2022-01-01,52.00837250000001,12.221627499999997,-17.630000000000003,27.190000000000005
Kensington Mortgage Company Limited,NO GROUP,2021-10-01 to 2022-03-31,,,0.3186,,,,2022-h1,2022,h1,Mortgage & Lending,31.86,1,2022-01-01,52.00837250000001,-20.148372500000008,-1.7699999999999996,7.165853658536594
Kingfisher Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.2057,,,2022-h1,2022,h1,Insurance,20.57,1,2022-01-01,52.00837250000001,-31.438372500000007,,
Landmark Mortgages Limited,NO GROUP,2022-01-01 to 2022-06-30,,,0.479,,,,2022-h1,2022,h1,Mortgage & Lending,47.9,1,2022-01-01,52.00837250000001,-4.108372500000009,-5.879999999999996,17.22
Leeds Building Society,LEEDS BUILDING SOCIETY,2022-01-01 to 2022-06-30,0.6866,,0.6194,0.1429,,,2022-h1,2022,h1,Banking,48.296666666666674,1,2022-01-01,52.00837250000001,-3.711705833333333,4.883333333333333,13.346666666666664
Legal & General Partnership Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,0.9059,0.1053,,,2022-h1,2022,h1,Mortgage & Lending,50.56,1,2022-01-01,52.00837250000001,-1.448372500000005,,
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2022-01-01 to 2022-06-30,,0.6381,,0.5525,,,2022-h1,2022,h1,Insurance,59.53,1,2022-01-01,52.00837250000001,7.521627499999994,-1.5750000000000028,13.816083085019258
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2022-01-01 to 2022-06-30,,0.9245,,0.7249,0.9205,,2022-h1,2022,h1,Insurance,85.66333333333334,1,2022-01-01,52.00837250000001,33.654960833333334,-10.796666666666669,26.330000000000005
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,0.5412,,,2022-h1,2022,h1,Insurance,54.120000000000005,1,2022-01-01,52.00837250000001,2.1116274999999973,-0.4600000000000079,11.160000000000004
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,,,0.6455,,,2022-h1,2022,h1,Banking,64.55,1,2022-01-01,52.00837250000001,12.54162749999999,9.900000000000006,10.470000000000006
