Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2024-07-01 to 2024-12-31,12193.0,,,,,12193.0,2024-h2,2024,h2,Banking,6
James Hay Administration Company Ltd,NO GROUP,2024-07-01 to 2024-12-31,,1179.0,,,,1179.0,2024-h2,2024,h2,Insurance,6
Janus Henderson Fund Management UK Limited,JANUS HENDERSON GROUP PLC,2024-07-01 to 2024-12-31,,,,,541.0,541.0,2024-h2,2024,h2,Investments,6
Kensington Mortgage Company Limited,NO GROUP,2024-07-01 to 2024-12-31,,,992.0,,,992.0,2024-h2,2024,h2,Mortgage & Lending,6
Kroo Bank Ltd,NO GROUP,2024-07-01 to 2024-12-31,1246.0,,,,,1246.0,2024-h2,2024,h2,Banking,6
Landmark Mortgages Limited,NO GROUP,2024-07-01 to 2024-12-31,,,751.0,,,751.0,2024-h2,2024,h2,Mortgage & Lending,6
LeasePlan UK Limited,LP GROUP B.V.,2024-07-01 to 2024-12-31,,,,20.0,,20.0,2024-h2,2024,h2,Insurance,6
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,2049.0,,1271.0,5.0,1.0,3326.0,2024-h2,2024,h2,Banking,6
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,2024-07-01 to 2024-12-31,,516.0,,,6.0,522.0,2024-h2,2024,h2,Insurance,6
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2024-07-01 to 2024-12-31,,1203.0,,2920.0,,4123.0,2024-h2,2024,h2,Insurance,6
Lenvi Servicing Limited,NO GROUP,2024-07-01 to 2024-12-31,,,813.0,,,813.0,2024-h2,2024,h2,Mortgage & Lending,6
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,,431.0,,1321.0,292.0,2044.0,2024-h2,2024,h2,Insurance,6
Liverpool Victoria Insurance Company Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2024-07-01 to 2024-12-31,,,,9279.0,,9279.0,2024-h2,2024,h2,Insurance,6
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,0.0,0.0,0.0,5611.0,0.0,5611.0,2024-h2,2024,h2,Banking,6
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,73473.0,58.0,2821.0,362.0,46.0,76760.0,2024-h2,2024,h2,Banking,6
London and Country Mortgages Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,597.0,38.0,,635.0,2024-h2,2024,h2,Mortgage & Lending,6
M & G Securities Limited,M&G PLC,2024-07-01 to 2024-12-31,,,,,577.0,577.0,2024-h2,2024,h2,Investments,6
ManyPets Ltd,NO GROUP,2024-04-01 to 2024-09-30,,,,4914.0,,4914.0,2024-h2,2024,h2,Insurance,6
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,8226.0,0.0,0.0,112.0,0.0,8338.0,2024-h2,2024,h2,Banking,6
Marshmallow Financial Services Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,4843.0,,4843.0,2024-h2,2024,h2,Insurance,6
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,9072.0,0.0,0.0,9.0,0.0,9081.0,2024-h2,2024,h2,Banking,6
MetLife Europe d.a.c.,NO GROUP,2024-07-01 to 2024-12-31,,,,750.0,,750.0,2024-h2,2024,h2,Insurance,6
Metro Bank PLC,METRO BANK PLC,2024-07-01 to 2024-12-31,8682.0,,234.0,,,8916.0,2024-h2,2024,h2,Banking,6
Monzo Bank Ltd,MONZO BANK LIMITED,2024-04-01 to 2024-09-30,50586.0,1.0,,,165.0,50752.0,2024-h2,2024,h2,Banking,6
Moorcroft Debt Recovery Limited,NO GROUP,2024-02-01 to 2024-07-31,578.0,,,,,578.0,2024-h2,2024,h2,Banking,6
