Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
London and Country Mortgages Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,543.0,31.0,,574.0,2023-h1,2023,h1,Mortgage & Lending,3
M & G Securities Limited,M&G PLC,2023-01-01 to 2023-06-30,,,,,1200.0,1200.0,2023-h1,2023,h1,Investments,3
ManyPets Ltd,NO GROUP,2022-10-01 to 2023-03-31,,,,7281.0,,7281.0,2023-h1,2023,h1,Insurance,3
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,2023-01-01 to 2023-06-30,,,,739.0,,739.0,2023-h1,2023,h1,Insurance,3
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2023-01-01 to 2023-06-30,11338.0,0.0,0.0,164.0,0.0,11502.0,2023-h1,2023,h1,Banking,3
Marshmallow Financial Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,1548.0,,1548.0,2023-h1,2023,h1,Insurance,3
MBNA Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,10754.0,0.0,0.0,373.0,0.0,11127.0,2023-h1,2023,h1,Banking,3
Metro Bank PLC,METRO BANK PLC,2023-01-01 to 2023-06-30,8154.0,,178.0,,,8332.0,2023-h1,2023,h1,Banking,3
Monzo Bank Ltd,MONZO BANK LIMITED,2022-09-01 to 2023-02-28,24390.0,,,,,24390.0,2023-h1,2023,h1,Banking,3
Moorcroft Debt Recovery Limited,NO GROUP,2022-08-01 to 2023-01-31,530.0,,,,,530.0,2023-h1,2023,h1,Banking,3
MotoNovo Finance Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,36.0,,36.0,2023-h1,2023,h1,Mortgage & Lending,3
Munich Re Digital Partners Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,971.0,,971.0,2023-h1,2023,h1,Insurance,3
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,2023-01-01 to 2023-06-30,63588.0,30.0,4633.0,140.0,143.0,68534.0,2023-h1,2023,h1,Banking,3
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2022-10-01 to 2023-04-04,47208.0,4.0,4916.0,542.0,239.0,52909.0,2023-h1,2023,h1,Banking,3
Newcastle Building Society,NO GROUP,2023-01-01 to 2023-06-30,516.0,1.0,107.0,0.0,2.0,626.0,2023-h1,2023,h1,Banking,3
Northern Bank Limited,DANSKE BANK A/S,2023-01-01 to 2023-06-30,1598.0,,111.0,,1.0,1710.0,2023-h1,2023,h1,Banking,3
One Call Insurance Services Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,3448.0,,3448.0,2023-h1,2023,h1,Insurance,3
OneSavings Bank Plc,ONESAVINGS BANK PLC,2023-01-01 to 2023-06-30,1377.0,,1275.0,,,2652.0,2023-h1,2023,h1,Banking,3
OVO (S) Home Services Limited,SSE PLC,2023-01-01 to 2023-06-30,,,,871.0,,871.0,2023-h1,2023,h1,Insurance,3
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2022-10-01 to 2023-03-31,858.0,,311.0,3.0,,1172.0,2023-h1,2023,h1,Banking,3
People's Administration Services Limited,NO GROUP,2022-10-01 to 2023-03-31,,5244.0,,,,5244.0,2023-h1,2023,h1,Insurance,3
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2023-01-01 to 2023-06-30,,,949.0,,,949.0,2023-h1,2023,h1,Mortgage & Lending,3
Phoenix Life Assurance Limited,PHOENIX GROUP,2023-01-01 to 2023-06-30,,1987.0,2.0,260.0,121.0,2370.0,2023-h1,2023,h1,Insurance,3
Phoenix Life Limited,PHOENIX GROUP,2023-01-01 to 2023-06-30,,3461.0,5.0,2469.0,581.0,6516.0,2023-h1,2023,h1,Insurance,3
Pinnacle Insurance Plc,BNP PARIBAS GROUP,2023-01-01 to 2023-06-30,,,,5031.0,,5031.0,2023-h1,2023,h1,Insurance,3
Post Office Management Services Limited,POST OFFICE LIMITED,2022-10-01 to 2023-03-31,,,,557.0,,557.0,2023-h1,2023,h1,Insurance,3
Prestige Underwriting Services Ltd,NO GROUP,2023-01-01 to 2023-06-30,,,,549.0,,549.0,2023-h1,2023,h1,Insurance,3
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2023-01-01 to 2023-06-30,634.0,,370.0,6.0,,1010.0,2023-h1,2023,h1,Banking,3
QBE UK Limited,QBE INSURANCE GROUP,2023-01-01 to 2023-06-30,,,,907.0,,907.0,2023-h1,2023,h1,Insurance,3
Qmetric Group Limited,NO GROUP,2022-10-01 to 2023-03-31,,,,2658.0,,2658.0,2023-h1,2023,h1,Insurance,3
Quilter Investment Platform Limited,QUILTER GROUP,2023-01-01 to 2023-06-30,,,,,664.0,664.0,2023-h1,2023,h1,Investments,3
Quilter Life & Pensions Limited,QUILTER GROUP,2023-01-01 to 2023-06-30,,740.0,,,145.0,885.0,2023-h1,2023,h1,Insurance,3
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2023-01-01 to 2023-06-30,,,,8479.0,,8479.0,2023-h1,2023,h1,Insurance,3
RBS Collective Investment Funds Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,,1971.0,1971.0,2023-h1,2023,h1,Investments,3
ReAssure Life Limited,PHOENIX GROUP,2023-01-01 to 2023-06-30,,267.0,,385.0,223.0,875.0,2023-h1,2023,h1,Insurance,3
ReAssure Limited,PHOENIX GROUP,2023-01-01 to 2023-06-30,,3339.0,4.0,688.0,727.0,4758.0,2023-h1,2023,h1,Insurance,3
Rock Insurance Services Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,915.0,,915.0,2023-h1,2023,h1,Insurance,3
Rothesay Life Plc,NO GROUP,2023-01-01 to 2023-06-30,,741.0,,,,741.0,2023-h1,2023,h1,Insurance,3
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2023-01-01 to 2023-06-30,,,,26996.0,,26996.0,2023-h1,2023,h1,Insurance,3
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2023-01-01 to 2023-06-30,,,,676.0,,676.0,2023-h1,2023,h1,Insurance,3
Saga Services Limited,SAGA PLC,2022-08-01 to 2023-01-31,,,,9237.0,,9237.0,2023-h1,2023,h1,Insurance,3
Sainsbury's Bank Plc,J SAINSBURY PLC,2022-09-01 to 2023-02-28,8254.0,,116.0,627.0,,8997.0,2023-h1,2023,h1,Banking,3
Santander Consumer (UK) Plc,SANTANDER UK GROUP,2023-01-01 to 2023-06-30,,,,2.0,,2.0,2023-h1,2023,h1,Insurance,3
Santander UK Plc,SANTANDER UK GROUP,2023-01-01 to 2023-06-30,72157.0,23.0,7672.0,135.0,67.0,80054.0,2023-h1,2023,h1,Banking,3
Scottish Equitable Plc,AEGON N.V.,2023-01-01 to 2023-06-30,,4158.0,,333.0,60.0,4551.0,2023-h1,2023,h1,Insurance,3
Scottish Friendly Assurance Society Limited,NO GROUP,2023-01-01 to 2023-06-30,0.0,399.0,0.0,390.0,609.0,1398.0,2023-h1,2023,h1,Insurance,3
Scottish Widows Administration Services Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.0,545.0,0.0,0.0,1.0,546.0,2023-h1,2023,h1,Insurance,3
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.0,13024.0,0.0,2187.0,2909.0,18120.0,2023-h1,2023,h1,Insurance,3
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.0,0.0,0.0,0.0,788.0,788.0,2023-h1,2023,h1,Investments,3
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2023-01-01 to 2023-06-30,542.0,,,,,542.0,2023-h1,2023,h1,Banking,3
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2023-01-01 to 2023-06-30,998.0,,535.0,,,1533.0,2023-h1,2023,h1,Banking,3
Shop Direct Finance Company Limited,THE VERY GROUP,2023-01-01 to 2023-06-30,,,,313.0,,313.0,2023-h1,2023,h1,Mortgage & Lending,3
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2023-01-01 to 2023-06-30,,,,3121.0,,3121.0,2023-h1,2023,h1,Insurance,3
Skipton Building Society,SKIPTON BUILDING SOCIETY,2023-01-01 to 2023-06-30,2925.0,32.0,613.0,4.0,221.0,3795.0,2023-h1,2023,h1,Banking,3
Society of Lloyd's,SOCIETY OF LLOYD'S,2023-01-01 to 2023-06-30,,,,5599.0,,5599.0,2023-h1,2023,h1,Insurance,3
Somerset Bridge Insurance Services Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,653.0,,653.0,2023-h1,2023,h1,Insurance,3
St James's Place UK plc,ST. JAMES'S PLACE PLC,2023-01-01 to 2023-06-30,0.0,653.0,0.0,5.0,181.0,839.0,2023-h1,2023,h1,Insurance,3
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2023-01-01 to 2023-06-30,0.0,2142.0,14.0,43.0,1994.0,4193.0,2023-h1,2023,h1,Insurance,3
Standard Life Assurance Limited,PHOENIX GROUP,2023-01-01 to 2023-06-30,,4548.0,9.0,44.0,208.0,4809.0,2023-h1,2023,h1,Insurance,3
Standard Life Savings Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,,1061.0,1061.0,2023-h1,2023,h1,Insurance,3
Starling Bank Limited,NO GROUP,2022-10-01 to 2023-03-31,10215.0,,,,,10215.0,2023-h1,2023,h1,Banking,3
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2023-01-01 to 2023-06-30,,,,1456.0,,1456.0,2023-h1,2023,h1,Insurance,3
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,2023-01-01 to 2023-06-30,,993.0,,769.0,177.0,1939.0,2023-h1,2023,h1,Insurance,3
Target Servicing Limited,NO GROUP,2022-10-01 to 2023-03-31,,,807.0,,,807.0,2023-h1,2023,h1,Mortgage & Lending,3
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2023-01-01 to 2023-06-30,,,,4195.0,,4195.0,2023-h1,2023,h1,Insurance,3
Telefonica UK Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,33.0,,33.0,2023-h1,2023,h1,Insurance,3
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),2022-09-01 to 2023-02-28,14795.0,,,2336.0,,17131.0,2023-h1,2023,h1,Mortgage & Lending,3
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2022-09-01 to 2023-02-28,,,,2970.0,,2970.0,2023-h1,2023,h1,Insurance,3
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2023-01-01 to 2023-06-30,15227.0,1.0,1880.0,50.0,0.0,17158.0,2023-h1,2023,h1,Banking,3
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,2023-01-01 to 2023-06-30,0.0,0.0,699.0,0.0,0.0,699.0,2023-h1,2023,h1,Mortgage & Lending,3
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2022-10-01 to 2023-03-31,,,1617.0,,,1617.0,2023-h1,2023,h1,Mortgage & Lending,3
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2023-01-01 to 2023-06-30,,140.0,,6389.0,96.0,6625.0,2023-h1,2023,h1,Insurance,3
The Prudential Assurance Company Limited,M&G PLC,2023-01-01 to 2023-06-30,,7076.0,22.0,359.0,3098.0,10555.0,2023-h1,2023,h1,Insurance,3
The Royal Bank of Scotland Plc,NATWEST GROUP,2023-01-01 to 2023-06-30,15292.0,11.0,1195.0,54.0,31.0,16583.0,2023-h1,2023,h1,Banking,3
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,2023-01-01 to 2023-06-30,,5970.0,,2348.0,355.0,8673.0,2023-h1,2023,h1,Insurance,3
Topaz Finance Limited,NO GROUP,2023-01-01 to 2023-06-30,,,2740.0,,,2740.0,2023-h1,2023,h1,Mortgage & Lending,3
Triodos Bank UK Limited,NO GROUP,2023-01-01 to 2023-06-30,557.0,,,,50.0,607.0,2023-h1,2023,h1,Banking,3
TSB Bank plc,BANCO DE SABADELL SA,2023-01-01 to 2023-06-30,29585.0,,2403.0,42.0,,32030.0,2023-h1,2023,h1,Banking,3
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2023-01-01 to 2023-06-30,,,,53489.0,,53489.0,2023-h1,2023,h1,Insurance,3
UK Warranty Limited,NO GROUP,2022-10-01 to 2023-03-31,,,,706.0,,706.0,2023-h1,2023,h1,Insurance,3
"Vanguard Asset Management, Ltd",NO GROUP,2023-01-01 to 2023-06-30,,335.0,,,741.0,1076.0,2023-h1,2023,h1,Energy & Utilities,3
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2023-01-01 to 2023-06-30,13471.0,,,,,13471.0,2023-h1,2023,h1,Banking,3
Vitality Corporate Services Limited,DISCOVERY LIMITED,2023-01-01 to 2023-06-30,,10.0,,11056.0,12.0,11078.0,2023-h1,2023,h1,Insurance,3
Vodafone Limited,NO GROUP,2022-10-01 to 2023-03-31,,,,467.0,,467.0,2023-h1,2023,h1,Insurance,3
Wescot Credit Services Limited,NO GROUP,2023-01-01 to 2023-06-30,1778.0,,,,,1778.0,2023-h1,2023,h1,Mortgage & Lending,3
Xbridge Limited,NO GROUP,2023-01-01 to 2023-06-30,,,,1023.0,,1023.0,2023-h1,2023,h1,Insurance,3
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2023-01-01 to 2023-06-30,2300.0,,706.0,16.0,1.0,3023.0,2023-h1,2023,h1,Banking,3
Zopa Bank Limited,NO GROUP,2023-01-01 to 2023-06-30,2068.0,0.0,0.0,0.0,0.0,2068.0,2023-h1,2023,h1,Banking,3
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2023-01-01 to 2023-06-30,,1253.0,5.0,2746.0,448.0,4452.0,2023-h1,2023,h1,Insurance,3
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,2023-01-01 to 2023-06-30,,,,4129.0,,4129.0,2023-h1,2023,h1,Insurance,3
abrdn Investments Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,,742.0,742.0,2023-h2,2023,h2,Investments,4
Accelerant Insurance Europe SA/NV UK Branch,NO GROUP,2023-07-01 to 2023-12-31,,,,528.0,,528.0,2023-h2,2023,h2,Insurance,4
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2023-07-01 to 2023-12-31,22.0,,848.0,,,870.0,2023-h2,2023,h2,Mortgage & Lending,4
Accredited Insurance (Europe) Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,4672.0,,4672.0,2023-h2,2023,h2,Mortgage & Lending,4
Acm Ulr Limited,BGL GROUP,2023-07-01 to 2023-12-31,,,,1678.0,,1678.0,2023-h2,2023,h2,Insurance,4
Acorn Insurance & Financial Services Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,574.0,,574.0,2023-h2,2023,h2,Insurance,4
Action 365 Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,1091.0,,1091.0,2023-h2,2023,h2,Insurance,4
Adrian Flux Insurance Services Group,NO GROUP,2023-03-01 to 2023-08-31,,,,1388.0,,1388.0,2023-h2,2023,h2,Insurance,4
Advanced Payment Solutions Limited,NO GROUP,2023-04-01 to 2023-09-30,1378.0,,,,,1378.0,2023-h2,2023,h2,Banking,4
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2023-07-01 to 2023-12-31,,,,809.0,,809.0,2023-h2,2023,h2,Insurance,4
Affinity Insurance Solutions Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,1789.0,,1789.0,2023-h2,2023,h2,Insurance,4
Ageas Insurance Limited,AGEAS SA-NV,2023-07-01 to 2023-12-31,,,,5980.0,,5980.0,2023-h2,2023,h2,Insurance,4
Ageas Retail Limited,AGEAS SA-NV,2023-07-01 to 2023-12-31,,,,1275.0,,1275.0,2023-h2,2023,h2,Insurance,4
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2023-07-01 to 2023-12-31,682.0,,25.0,1.0,2.0,710.0,2023-h2,2023,h2,Banking,4
AIG Life Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,533.0,,533.0,2023-h2,2023,h2,Insurance,4
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2023-07-01 to 2023-12-31,,,,2504.0,,2504.0,2023-h2,2023,h2,Insurance,4
AJ Bell Management Limited,NO GROUP,2023-04-01 to 2023-09-30,,666.0,,,,666.0,2023-h2,2023,h2,Insurance,4
AJ Bell Securities Limited,NO GROUP,2023-04-01 to 2023-09-30,40.0,120.0,,,608.0,768.0,2023-h2,2023,h2,Investments,4
Aldermore Bank Plc,FIRSTRAND LIMITED,2023-07-01 to 2023-12-31,753.0,,750.0,,,1503.0,2023-h2,2023,h2,Banking,4
Allianz Insurance Plc,ALLIANZ SE,2023-07-01 to 2023-12-31,,,,3500.0,,3500.0,2023-h2,2023,h2,Insurance,4
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2023-07-01 to 2023-12-31,8772.0,,,60.0,,8832.0,2023-h2,2023,h2,Banking,4
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2023-07-01 to 2023-12-31,,,,8866.0,,8866.0,2023-h2,2023,h2,Insurance,4
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2023-07-01 to 2023-12-31,,,,1892.0,,1892.0,2023-h2,2023,h2,Insurance,4
Animal Friends Insurance Services Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,4040.0,,4040.0,2023-h2,2023,h2,Insurance,4
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,2023-07-01 to 2023-12-31,,,,1047.0,,1047.0,2023-h2,2023,h2,Insurance,4
Assurant General Insurance Limited,ASSURANT INC,2023-07-01 to 2023-12-31,,,,6290.0,,6290.0,2023-h2,2023,h2,Insurance,4
Astrenska Insurance Limited,NO GROUP,2023-05-01 to 2023-10-31,,,,2550.0,,2550.0,2023-h2,2023,h2,Insurance,4
Asurion Europe Limited,ASURION,2023-07-01 to 2023-12-31,,,,2028.0,,2028.0,2023-h2,2023,h2,Insurance,4
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,2023-07-01 to 2023-12-31,,,,12137.0,,12137.0,2023-h2,2023,h2,Insurance,4
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2023-02-01 to 2023-07-31,,,,12278.0,,12278.0,2023-h2,2023,h2,Insurance,4
Avantia Insurance Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,333.0,,333.0,2023-h2,2023,h2,Insurance,4
Aviva Health UK Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,1821.0,,1821.0,2023-h2,2023,h2,Insurance,4
Aviva Insurance Limited,AVIVA PLC,2023-07-01 to 2023-12-31,,,,43127.0,,43127.0,2023-h2,2023,h2,Insurance,4
Aviva Life Services UK Limited,AVIVA PLC,2023-07-01 to 2023-12-31,1.0,14299.0,845.0,3754.0,3105.0,22004.0,2023-h2,2023,h2,Insurance,4
AWP Assistance UK Ltd,ALLIANZ SE,2023-07-01 to 2023-12-31,,,,3082.0,,3082.0,2023-h2,2023,h2,Insurance,4
AWP P&C S.A.,NO GROUP,2023-07-01 to 2023-12-31,,,,1166.0,,1166.0,2023-h2,2023,h2,Insurance,4
AXA Insurance Designated Activity Company,AXA GROUP,2023-07-01 to 2023-12-31,,,,2527.0,,2527.0,2023-h2,2023,h2,Insurance,4
AXA Insurance UK Plc,AXA GROUP,2023-07-01 to 2023-12-31,,,,30407.0,,30407.0,2023-h2,2023,h2,Insurance,4
AXA PPP Healthcare Limited,AXA GROUP,2023-07-01 to 2023-12-31,,,,38139.0,,38139.0,2023-h2,2023,h2,Insurance,4
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2023-07-01 to 2023-12-31,3658.0,,1055.0,36.0,,4749.0,2023-h2,2023,h2,Banking,4
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,70368.0,25.0,14422.0,270.0,102.0,85187.0,2023-h2,2023,h2,Banking,4
Barclays Bank Plc,BARCLAYS PLC,2023-07-01 to 2023-12-31,8385.0,38.0,2.0,,1373.0,9798.0,2023-h2,2023,h2,Banking,4
Barclays Bank UK PLC,BARCLAYS PLC,2023-07-01 to 2023-12-31,105351.0,10.0,10119.0,687.0,81.0,116248.0,2023-h2,2023,h2,Banking,4
BISL Limited,BGL GROUP,2023-07-01 to 2023-12-31,,,,12848.0,,12848.0,2023-h2,2023,h2,Insurance,4
Black Horse Limited,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,,,13.0,73.0,,86.0,2023-h2,2023,h2,Insurance,4
Bradford & Bingley Limited,NO GROUP,2023-04-01 to 2023-09-30,0.0,2.0,803.0,9.0,13.0,827.0,2023-h2,2023,h2,Mortgage & Lending,4
Brightside Insurance Services Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,1030.0,,1030.0,2023-h2,2023,h2,Insurance,4
British Gas Services Limited,CENTRICA PLC,2023-07-01 to 2023-12-31,,,,57918.0,,57918.0,2023-h2,2023,h2,Energy & Utilities,4
Bspoke Underwriting Ltd,NO GROUP,2023-03-31 to 2023-09-30,,,,563.0,,563.0,2023-h2,2023,h2,Insurance,4
BUPA Insurance Services Limited,BUPA GROUP,2023-07-01 to 2023-12-31,,,,19861.0,,19861.0,2023-h2,2023,h2,Insurance,4
Cabot Credit Management Group Limited,NO GROUP,2023-07-01 to 2023-12-31,,,43.0,,,43.0,2023-h2,2023,h2,Mortgage & Lending,4
Call Assist Ltd,CALL ASSIST LIMITED,2023-05-01 to 2023-10-31,,,,1016.0,,1016.0,2023-h2,2023,h2,Insurance,4
Canada Life Limited,NO GROUP,2023-07-01 to 2023-12-31,,1126.0,,152.0,52.0,1330.0,2023-h2,2023,h2,Insurance,4
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2023-07-01 to 2023-12-31,19353.0,,,45.0,,19398.0,2023-h2,2023,h2,Banking,4
Car Care Plan Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,1017.0,,1017.0,2023-h2,2023,h2,Insurance,4
Carfinance247 Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,168.0,,168.0,2023-h2,2023,h2,Mortgage & Lending,4
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP LIMITED,2023-07-01 to 2023-12-31,,,,4799.0,,4799.0,2023-h2,2023,h2,Insurance,4
Castelan Limited,NO GROUP,2023-04-01 to 2023-09-30,,,,611.0,,611.0,2023-h2,2023,h2,Insurance,4
Cater Allen Limited,NO GROUP,2023-07-01 to 2023-12-31,524.0,,,,,524.0,2023-h2,2023,h2,Banking,4
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2023-07-01 to 2023-12-31,956.0,,1545.0,,,2501.0,2023-h2,2023,h2,Mortgage & Lending,4
Chetwood Financial Limited,NO GROUP,2023-04-01 to 2023-09-30,227.0,,,,,227.0,2023-h2,2023,h2,Banking,4
Chubb European Group SE,CHUBB LIMITED,2023-07-01 to 2023-12-31,,,,3916.0,,3916.0,2023-h2,2023,h2,Insurance,4
Citibank UK Limited,CITI GROUP,2023-07-01 to 2023-12-31,5032.0,,,1.0,52.0,5085.0,2023-h2,2023,h2,Banking,4
ClearBank Limited,NO GROUP,2023-07-01 to 2023-12-31,2617.0,,,,,2617.0,2023-h2,2023,h2,Banking,4
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2023-02-01 to 2023-07-31,408.0,,,2.0,,410.0,2023-h2,2023,h2,Banking,4
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2023-04-01 to 2023-09-30,31758.0,7.0,1809.0,17.0,55.0,33646.0,2023-h2,2023,h2,Banking,4
Cofunds Limited,AEGON N.V.,2023-07-01 to 2023-12-31,,62.0,,,1030.0,1092.0,2023-h2,2023,h2,Investments,4
Columbia Threadneedle Management Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,,783.0,783.0,2023-h2,2023,h2,Investments,4
Complete Cover Group Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,627.0,,627.0,2023-h2,2023,h2,Insurance,4
Connells Limited,SKIPTON BUILDING SOCIETY,2023-07-01 to 2023-12-31,,,484.0,98.0,,582.0,2023-h2,2023,h2,Mortgage & Lending,4
CORGI HomePlan Ltd,OVO GROUP,2023-07-01 to 2023-12-31,,,,1772.0,,1772.0,2023-h2,2023,h2,Insurance,4
Coutts & Company,NATWEST GROUP,2023-07-01 to 2023-12-31,1300.0,7.0,104.0,10.0,65.0,1486.0,2023-h2,2023,h2,Banking,4
Covea Insurance plc,COVEA GROUP,2023-07-01 to 2023-12-31,,,,2703.0,,2703.0,2023-h2,2023,h2,Insurance,4
Coventry Building Society,NO GROUP,2023-07-01 to 2023-12-31,3589.0,,717.0,0.0,,4306.0,2023-h2,2023,h2,Banking,4
Cover Genius Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,1387.0,,1387.0,2023-h2,2023,h2,Insurance,4
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2023-07-01 to 2023-12-31,3867.0,,,0.0,,3867.0,2023-h2,2023,h2,Mortgage & Lending,4
Creation Financial Services Limited,BNP PARIBAS GROUP,2023-07-01 to 2023-12-31,1008.0,,,1.0,,1009.0,2023-h2,2023,h2,Banking,4
Cynergy Bank Limited,CYNERGY CAPITAL LTD,2023-07-01 to 2023-12-31,821.0,,9.0,,,830.0,2023-h2,2023,h2,Banking,4
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,2023-07-01 to 2023-12-31,,,,1930.0,,1930.0,2023-h2,2023,h2,Insurance,4
DAVIES MGA SERVICES LIMITED,NO GROUP,2023-07-01 to 2023-12-31,,,,1056.0,,1056.0,2023-h2,2023,h2,Insurance,4
Devitt Insurance Services Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,490.0,,490.0,2023-h2,2023,h2,Insurance,4
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2023-04-01 to 2023-09-30,,,,38085.0,,38085.0,2023-h2,2023,h2,Insurance,4
Elavon Financial Services Designated Activity Company,NO GROUP,2023-07-01 to 2023-12-31,2126.0,,,,,2126.0,2023-h2,2023,h2,Banking,4
Elderbridge Limited,TECH MAHINDRA LIMITED,2023-04-01 to 2023-09-30,,,1023.0,,,1023.0,2023-h2,2023,h2,Mortgage & Lending,4
Embark Investment Services Limited,NO GROUP,2023-07-01 to 2023-12-31,,370.0,,,547.0,917.0,2023-h2,2023,h2,Investments,4
Equiniti Financial Services Limited,EQUINITI GROUP PLC,2023-07-01 to 2023-12-31,,16.0,,,2898.0,2914.0,2023-h2,2023,h2,Investments,4
Equiniti Gateway Limited,NO GROUP,2023-07-01 to 2023-12-31,,,1754.0,,,1754.0,2023-h2,2023,h2,Mortgage & Lending,4
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2023-07-01 to 2023-12-31,,,,3221.0,,3221.0,2023-h2,2023,h2,Insurance,4
esure Insurance Limited,ESURE GROUP PLC,2023-07-01 to 2023-12-31,,,,14330.0,,14330.0,2023-h2,2023,h2,Insurance,4
EUI Limited,ADMIRAL GROUP PLC,2023-07-01 to 2023-12-31,,,,63419.0,,63419.0,2023-h2,2023,h2,Insurance,4
